D:/Works/ROCreader\books\癢樂多阿姨\癢樂多阿姨 20-21話.pdf	0	0	1	0	352
D:/Works/ROCreader\books\癢樂多阿姨\癢樂多阿姨 10-11話.pdf	0	0	1	0	518
D:/Works/ROCreader\books\[小说] [网文] [长篇]\网游之纵横天下.txt	416	0	1	0	15836
D:/Works/ROCreader\books\[小说] [成人] [短篇]\【全集】ＳＭ超友誼接觸.txt	74	0	1	0	2814
D:/Works/ROCreader\books\[小说] [成人] [长篇]\艳母.txt	10	0	1	0	402
D:/Works/ROCreader\books\[小说] [成人] [短篇]\【全集】妻与妓+外传.txt	116	0	1	0	4422
D:/Works/ROCreader\books\[小说] [网文] [长篇]\亵渎.txt	345	0	1	0	13115
D:/Works/ROCreader\books\(C107)[DKsha (加瀬大輝)] いとこちゃん。その2 [中国翻訳].pdf	0	0	1	0	0
D:/Works/ROCreader\books\[小说] [成人] [短篇]\bottlee短篇集.txt	74	0	1	0	2814
D:/Works/ROCreader\books\癢樂多阿姨\癢樂多阿姨 22-23話.pdf	0	0	1.4641	0	482
../books/[ももまろ] 橘さん家ノ脅迫NTR事情 [雪汐个人机翻] [AI Generated].pdf	0	90	1.331	0	0
D:/Works/ROCreader\books\[Kmoe][蠟筆小新]卷01.epub	28	0	1	0	0
D:/Works/ROCreader\books\[小说] [成人] [长篇]\强暴短篇系列.txt	0	0	1	0	0
D:/Works/ROCreader\books\[小说] [成人] [长篇]\母子乱伦合集.txt	63	0	1	0	2412
D:/Works/ROCreader\books\[小说] [成人] [长篇]\大学门卫老董(未删).txt	0	0	1	0	0
D:/Works/ROCreader\books\癢樂多阿姨\癢樂多阿姨 39-40話.pdf	1	0	1	0	290
D:/Works/ROCreader\books\[小说] [成人] [短篇]\2050欲望候车室.txt	74	0	1	0	2814
D:/Works/ROCreader\books\[小说] [网文] [长篇]\佣兵天下.txt	0	0	1	0	0
../books/[聖華快楽書店 (エルトリア)] 配達先の長乳お姉さんがエ口すぎる｜出来收货的巨乳大姐姐实在太过于色情了 [DL版] [白杨汉化组](1).pdf	4	90	1	200	0
D:/Works/ROCreader\books\[ももまろ] 橘さん家ノ脅迫NTR事情 [雪汐个人机翻] [AI Generated].pdf	0	0	1	0	0
D:/Works/ROCreader\books\[小说] [网文] [长篇]\斗破苍穹.txt	95	0	1	0	3618
D:/Works/ROCreader\books\[小说] [成人] [短篇]\《意淫随笔》 第一~第五章合集.txt	75	0	1	0	2870
D:/Works/ROCreader\books\[小说] [成人] [短篇]\【全集】水瓶之爱.txt	126	0	1	0	4824
D:/Works/ROCreader\books\癢樂多阿姨\癢樂多阿姨 1-7話.pdf	2	0	0.751315	0	0
D:/Works/ROCreader\books\[小说] [成人] [短篇]\DIABLO外传4-6.txt	42	0	1	0	1608
